rank	total	cum	word
1	29546	3.49%	и
2	25255	6.48%	он
3	22249	9.10%	в
4	18970	11.35%	не
5	16215	13.26%	на
6	15066	15.04%	что
7	11570	16.41%	я
8	11160	17.73%	с
9	8056	18.68%	она
10	7852	19.61%	они
11	7129	20.45%	ты
12	6864	21.26%	как
13	6560	22.04%	это
14	5785	22.72%	а
15	5735	23.40%	к
16	5634	24.06%	сказать
17	5570	24.72%	но
18	5200	25.34%	у
19	4516	25.87%	вы
20	4388	26.39%	за
21	4358	26.90%	все
22	4314	27.41%	по
23	4302	27.92%	из
24	4165	28.41%	то
25	4016	28.89%	мы
26	3935	29.35%	мочь
27	3726	29.79%	от
28	3478	30.21%	так
29	3429	30.61%	этот
30	3234	30.99%	который
31	3048	31.35%	весь
32	2965	31.70%	быть
33	2937	32.05%	свой
34	2904	32.39%	еще
35	2853	32.73%	же
36	2672	33.05%	видеть
37	2631	33.36%	знать
38	2623	33.67%	о
39	2581	33.97%	бы
40	2574	34.28%	был
41	2513	34.57%	его
42	2474	34.87%	себя
43	2418	35.15%	рука
44	2400	35.43%	тот
45	2396	35.72%	когда
46	2355	36.00%	да
47	2284	36.27%	только
48	2143	36.52%	если
49	2087	36.77%	глаз
50	2083	37.01%	чтобы
51	2044	37.25%	такой
52	2016	37.49%	было
53	1965	37.72%	уже
54	1878	37.95%	палочка
55	1783	38.16%	спросить
56	1767	38.37%	профессор
57	1685	38.56%	голова
58	1685	38.76%	говорить
59	1660	38.96%	нет
60	1641	39.15%	хотеть
61	1635	39.35%	смотреть
62	1617	39.54%	лицо
63	1599	39.73%	до
64	1597	39.92%	кто
65	1552	40.10%	дверь
66	1550	40.28%	делать
67	1544	40.46%	ответить
68	1541	40.65%	ну
69	1500	40.82%	раз
70	1494	41.00%	для
71	1493	41.18%	голос
72	1465	41.35%	стать
73	1464	41.52%	очень
74	1406	41.69%	думать
75	1390	41.85%	ни
76	1370	42.02%	мой
77	1349	42.17%	время
78	1345	42.33%	друг
79	1288	42.49%	тут
80	1273	42.64%	самый
81	1269	42.79%	волшебный
82	1262	42.94%	вот
83	1258	43.08%	другой
84	1234	43.23%	теперь
85	1218	43.37%	ничто
86	1202	43.52%	снова
87	1176	43.65%	со
88	1169	43.79%	сам
89	1158	43.93%	под
90	1093	44.06%	слышать
91	1092	44.19%	там
92	1077	44.32%	где
93	1077	44.44%	ли
94	1072	44.57%	даже
95	1056	44.69%	мистер
96	1048	44.82%	человек
97	1028	44.94%	стол
98	1018	45.06%	была
99	1006	45.18%	стоять
100	1004	45.30%	чем
101	1003	45.42%	год
102	999	45.53%	хороший
103	996	45.65%	пойти
104	988	45.77%	здесь
105	962	45.88%	взгляд
106	952	45.99%	нога
107	946	46.11%	или
108	946	46.22%	сейчас
109	945	46.33%	слово
110	936	46.44%	дело
111	935	46.55%	казаться
112	908	46.66%	просто
113	889	46.76%	должен
114	887	46.87%	место
115	887	46.97%	какой
116	875	47.08%	вид
117	870	47.18%	ведь
118	868	47.28%	идти
119	865	47.38%	тоже
120	857	47.48%	были
121	853	47.59%	пытаться
122	847	47.69%	сторона
123	835	47.78%	произнести
124	829	47.88%	через
125	821	47.98%	первый
126	812	48.08%	перед
127	811	48.17%	волшебник
128	806	48.27%	комната
129	802	48.36%	над
130	802	48.46%	после
131	797	48.55%	сидеть
132	796	48.64%	пока
133	793	48.74%	больше
134	793	48.83%	миссис
135	790	48.92%	брать
136	788	49.02%	мантия
137	786	49.11%	надо
138	783	49.20%	темный
139	783	49.30%	никто
140	780	49.39%	потом
141	773	49.48%	заметить
142	769	49.57%	твой
143	765	49.66%	во
144	763	49.75%	что-то
145	758	49.84%	ее
146	756	49.93%	понять
147	756	50.02%	день
148	747	50.11%	школа
149	741	50.20%	смерть
150	738	50.28%	глядеть
151	694	50.36%	гермион
152	693	50.45%	вернуться
153	689	50.53%	будто
154	688	50.61%	конец
155	688	50.69%	большой
156	679	50.77%	почему
157	669	50.85%	вдруг
158	666	50.93%	без
159	660	51.01%	дом
160	655	51.08%	конечно
161	652	51.16%	словно
162	651	51.24%	будет
163	646	51.31%	остаться
164	643	51.39%	понимать
165	643	51.47%	начать
166	642	51.54%	нужный
167	635	51.62%	последний
168	631	51.69%	поднять
169	626	51.77%	никогда
170	624	51.84%	правда
171	622	51.91%	их
172	617	51.99%	об
173	614	52.06%	черный
174	608	52.13%	совсем
175	603	52.20%	сила
176	603	52.27%	выйти
177	595	52.34%	минута
178	590	52.41%	каждый
179	584	52.48%	при
180	583	52.55%	ваш
181	582	52.62%	замок
182	581	52.69%	можно
183	579	52.76%	потому
184	578	52.82%	хотя
185	576	52.89%	стена
186	570	52.96%	почти
187	565	53.03%	наш
188	564	53.09%	свет
189	552	53.16%	окно
190	549	53.22%	рядом
191	549	53.29%	тогда
192	545	53.35%	воздух
193	544	53.42%	наконец
194	543	53.48%	пол
195	542	53.55%	урок
196	535	53.61%	прийти
197	534	53.67%	дядя
198	524	53.73%	плечо
199	519	53.79%	новый
200	519	53.86%	волос
201	519	53.92%	книга
202	518	53.98%	подумать
203	517	54.04%	уж
204	515	54.10%	оказаться
205	514	54.16%	найти
206	510	54.22%	опять
207	505	54.28%	палец
208	500	54.34%	коридор
209	499	54.40%	лежать
210	498	54.46%	однако
