rank	total	word
1	229	о том что
2	135	на самом деле
3	132	в том что
4	124	после того как
5	123	так и не
6	110	от темных искусств
7	110	до сих пор
8	109	на этот раз
9	107	с тех пор
10	107	в конце концов
11	101	для того чтобы
12	100	то и дело
13	88	все в порядке
14	86	по крайней мере
15	85	и тут же
16	81	он не мог
17	80	судя по всему
18	80	к тому же
19	78	в прошлом году
20	76	волшебную палочку и
21	75	изо всех сил
22	74	за то что
23	71	в самом деле
24	69	что у него
25	69	у него в
26	69	был уверен что
27	67	тем не менее
28	64	не знал что
29	64	я не могу
30	64	друг на друга
31	63	в этом году
32	62	тех пор как
33	62	во всяком случае
34	61	о том как
35	60	у него на
36	59	у него был
37	58	ни разу не
38	58	за собой дверь
39	57	рядом с ним
40	57	он знал что
41	56	если бы не
42	55	на то что
43	53	и все же
44	52	что он не
45	51	в последний раз
46	51	я не знаю
47	51	так же как
48	50	до того как
49	50	не может быть
50	50	в жизни не
51	49	защиты от темных
52	49	время от времени
53	49	не в силах
54	48	что с тобой
55	48	то что он
56	47	на него с
57	47	у нее был
58	46	у меня есть
59	46	что с ним
60	46	поднялся на ноги
61	45	сказал он и
62	44	в чем дело
63	44	но я не
64	44	вид у него
65	44	в этот момент
66	43	он все еще
67	43	об этом не
68	43	я знаю что
69	43	никак не мог
70	42	то же самое
71	42	в то время
72	42	на ноги и
73	42	ни в чем
74	42	ну что ж
75	42	к себе в
76	41	вскочил на ноги
77	41	потому что он
78	41	по мраморной лестнице
79	40	на него и
80	40	но он не
81	40	на сей раз
82	40	чуть ли не
83	40	ни за что
84	40	у себя в
85	39	с такой силой
86	39	никогда еще не
87	39	не думаю что
88	39	в чем не
89	39	в ту ночь
90	39	я и не
91	38	не так ли
92	38	не так уж
93	38	у него не
94	38	себе под нос
95	37	и увидел что
96	37	что я не
97	37	если бы он
98	37	в прошлый раз
99	37	защите от темных
100	36	в это время
101	36	но все же
102	36	в больничное крыло
103	35	в последнее время
104	35	на следующее утро
105	35	ему показалось что
106	35	никогда в жизни
107	34	друг к другу
108	34	я так и
109	34	в воздух и
110	34	что у тебя
111	34	с другой стороны
112	33	к нему и
113	33	понятия не имею
114	33	не было ни
115	33	в первый раз
116	33	волшебную палочку на
117	33	я не хочу
118	33	перед тем как
119	32	он подошел к
120	32	и у него
121	32	смотрел на него
122	32	мы с тобой
123	32	у меня нет
124	32	в дальнем конце
125	32	и понял что
126	32	все это время
127	32	в отличие от
128	32	вид у нее
129	32	в тот же
130	32	как раз в
131	31	на то чтобы
132	31	в то же
133	31	а как же
134	31	но тут же
135	31	я только что
136	31	если не считать
137	31	не было видно
138	31	ту ночь когда
139	31	он понял что
140	31	сих пор не
141	31	ни о чем
142	31	точно так же
143	31	до тех пор
144	31	тех пор пока
145	31	в ту же
146	31	с этими словами
147	30	он никогда не
148	30	за его спиной
149	30	в сторону и
150	30	он посмотрел на
151	30	он только что
152	29	что они не
153	29	он сказал что
154	29	в этот миг
155	29	не было и
156	29	прежде чем он
157	29	только потому что
158	29	никогда не видел
159	29	в тот день
160	29	не успел он
161	29	у него было
162	29	глядя на него
163	29	со всех сторон
164	29	что это за
165	29	из-за того что
166	28	у входа в
167	28	ему казалось что
168	28	он ничего не
169	28	не сомневался что
170	28	и чуть не
171	28	не обращая внимания
172	27	бы то ни
173	27	то же время
174	27	я ничего не
175	27	на всякий случай
176	27	но не успел
177	27	взгляд с на
178	27	в таком случае
179	27	он не хотел
180	27	посмотрел на него
181	27	он никак не
182	27	обращая внимания на
183	27	вот и все
184	27	что у меня
185	27	за магическими существами
186	26	того как он
187	26	я знал что
188	26	что это значит
189	26	понял что это
190	26	он должен был
191	26	мира по квиддичу
192	26	волшебной палочкой и
193	26	он был в
194	26	всего на свете
195	26	с тем что
196	26	о том чтобы
197	26	потому что я
198	25	к тому что
199	25	он повернулся к
200	25	к двери и
201	25	о чем ты
202	25	он чувствовал себя
203	25	не по себе
204	25	вместо того чтобы
205	25	по сравнению с
206	25	как ты думаешь
207	25	ну и что
208	25	у нас нет
209	25	том что он
210	25	и в самом
211	24	на пол и
212	24	такой силой что
213	24	он смотрел на
214	24	в этом не
215	24	из них не
216	24	не знаю что
217	24	показалось что он
218	24	не могли бы
219	24	и повернулся к
220	24	и без того
221	24	друг с другом
222	24	вместе с и
223	24	мы не можем
224	24	лицом к лицу
225	24	я хотел бы
226	24	рядом с и
227	24	у меня в
228	24	посмотрел на и
229	24	мистер и миссис
230	24	по защите от
231	24	у него из
232	23	все так же
233	23	что ты не
234	23	сказала она и
235	23	а может быть
236	23	я никогда не
237	23	все равно не
238	23	не мог понять
239	23	в том чтобы
240	23	что у них
241	23	него не было
242	23	в том числе
243	23	он тут же
244	23	но прежде чем
245	23	почему он не
246	23	все равно что
247	23	не хотел чтобы
248	23	то что я
249	23	у него были
250	23	к тому времени
251	23	и даже не
252	23	они вышли из
253	22	я думаю что
254	22	смотрела на него
255	22	то ни было
256	22	ты знаешь что
257	22	в очередной раз
258	22	в его голосе
259	22	я не хотел
260	22	по другую сторону
261	22	казалось что он
262	22	и все еще
263	22	у него есть
264	22	что все это
265	22	за руку и
266	22	поднял волшебную палочку
267	22	на колени и
268	22	перевел взгляд на
269	22	по винтовой лестнице
270	22	что это такое
271	22	то время как
272	22	то что ты
273	22	на глазах у
274	22	тем более что
275	22	не глядя на
276	22	дело в том
277	22	и ничего не
278	22	как ни в
279	22	чем не бывало
280	22	выдавил из себя
281	21	как будто он
282	21	может быть он
283	21	снова и снова
284	21	по каменным ступеням
285	21	я хочу сказать
286	21	с самого начала
287	21	а что если
288	21	и они с
289	21	взмахнул волшебной палочкой
290	21	и посмотрел на
291	21	с ним и
292	21	не сводя глаз
293	21	сводя глаз с
294	21	но все равно
295	21	что это он
296	21	не смог бы
297	21	сердце у него
298	21	ни в коем
299	21	и он не
300	21	от того что
301	21	никого не было
302	21	несмотря на то
303	21	и с трудом
304	21	на твоем месте
305	21	и все такое
306	20	в любом случае
307	20	при этих словах
308	20	я не понимаю
309	20	он больше не
310	20	он и не
311	20	с головы до
312	20	ты хочешь сказать
313	20	кое о чем
314	20	я хочу чтобы
315	20	я не должен
316	20	в воздухе и
317	20	у нас есть
318	20	во все стороны
319	20	он не знал
320	20	это был не
321	20	в карман и
322	20	он был уверен
323	20	если бы я
324	20	имею в виду
325	20	но это не
326	20	не надо было
327	20	бы если бы
328	20	что это не
329	20	и в то
330	20	ни к чему
331	20	за что не
332	20	в коем случае
333	20	если вы не
334	20	в общей гостиной
335	20	тот же миг
336	20	и к тому
337	20	уставился на него
338	20	что в этом
339	20	ничего не ответил
340	20	а вот и
341	19	ты же не
342	19	внутри у него
343	19	а ты не
344	19	и в конце
345	19	взад и вперед
346	19	в голову не
347	19	еще не видел
348	19	он взглянул на
349	19	это не я
350	19	знал что ты
351	19	и увидел как
352	19	не в том
353	19	мы с ним
354	19	так что он
355	19	и вошли в
356	19	вместе с ним
357	19	смотрели на него
358	19	в запретном лесу
359	19	как вы думаете
360	19	с таким видом
361	19	не стал бы
362	19	он ни разу
363	19	вместе со всеми
364	19	посмотрела на него
365	19	его за руку
366	19	у нее на
367	19	с волшебной палочкой
368	19	как будто не
369	19	на нее с
370	19	он не может
