rank	total	word
1	62	с тех пор как
2	45	защиты от темных искусств
3	39	ни в чем не
4	36	вид у него был
5	36	защите от темных искусств
6	31	до сих пор не
7	31	до тех пор пока
8	28	вид у нее был
9	27	в ту ночь когда
10	27	не обращая внимания на
11	26	в то же время
12	24	с такой силой что
13	23	он никак не мог
14	23	и в самом деле
15	22	бы то ни было
16	22	у него не было
17	22	в то время как
18	22	как ни в чем
19	22	в чем не бывало
20	21	не сводя глаз с
21	21	по защите от темных
22	21	несмотря на то что
23	20	ни в коем случае
24	20	в тот же миг
25	19	никогда в жизни не
26	19	точно так же как
27	19	ни за что не
28	18	я имею в виду
29	18	дело в том что
30	17	и в конце концов
31	17	и в то же
32	16	в тот момент когда
33	15	с головы до ног
34	15	еще до того как
35	15	после того как он
36	15	больше всего на свете
37	15	смотрели друг на друга
38	15	он был уверен что
39	15	в ту же секунду
40	15	и к тому же
41	15	и в тот же
42	15	я не должен лгать
43	15	у себя в кабинете
44	15	по контролю волшебных существ
45	14	из стороны в сторону
46	14	что на самом деле
47	14	у них за спиной
48	13	в конце концов он
49	13	ему казалось что он
50	13	в том числе и
51	13	ни о чем не
52	13	не был уверен что
53	13	так же как и
54	13	в ту же минуту
55	13	он так и не
56	13	он ни разу не
57	13	не сводил глаз с
58	13	не будет не будет
59	12	и в голову не
60	12	но тем не менее
61	12	а я и не
62	12	еще ни разу не
63	12	никогда еще не видел
64	12	и в ту же
65	12	у него за спиной
66	12	за то что он
67	12	о том что он
68	12	как раз в этот
69	12	в жизни не видел
70	12	в том что он
71	12	уходу за магическими существами
72	12	был такой вид словно
73	11	и на этот раз
74	11	преподаватель защиты от темных
75	11	и тем не менее
76	11	прежде чем он успел
77	11	не могли бы вы
78	11	с минуты на минуту
79	11	у себя в комнате
80	11	на мира по квиддичу
81	11	когда они вышли из
82	11	защиту от темных искусств
83	10	но я не могу
84	10	было на самом деле
85	10	но с другой стороны
86	10	что бы там ни
87	10	тут ни при чем
88	10	он изо всех сил
89	10	поднялся на ноги и
90	10	но не успел он
91	10	беда в том что
92	10	я в этом не
93	10	ни с того ни
94	10	с того ни с
95	10	того ни с сего
96	10	бы на твоем месте
97	10	по уходу за магическими
98	10	и время от времени
99	10	у него в руке
100	10	в коем случае не
101	10	волшебных игр и спортивных
102	10	игр и спортивных состязаний
103	9	до того как он
104	9	не так уж и
105	9	никто из них не
106	9	друг другу в глаза
107	9	но на этот раз
108	9	по мере того как
109	9	так ничего и не
110	9	вы не могли бы
111	9	поднял волшебную палочку и
112	9	на этот раз не
113	9	я не думаю что
114	9	все будет в порядке
115	9	так и не смог
116	9	я был уверен что
117	9	о том что случилось
118	9	тех пор как он
119	9	в тот день когда
120	9	вы имеете в виду
121	9	а на самом деле
122	9	если бы он не
123	9	ему было все равно
124	9	в этот самый миг
125	9	он не хотел чтобы
126	9	я не знал что
127	9	вверх по мраморной лестнице
128	9	все равно ничего не
129	9	все выше и выше
130	9	у него из рук
131	9	на твоем месте я
132	9	я бы на твоем
133	9	когда они вошли в
134	9	защита от темных искусств
135	9	захлопнув за собой дверь
136	9	из кармана волшебную палочку
137	9	изо всех сил старался
138	9	с этими словами он
139	9	судя по тому что
140	9	не верил своим ушам
141	9	я не хочу чтобы
142	9	подошел к двери и
143	8	не произнес ни слова
144	8	тебе не кажется что
145	8	закрыл за собой дверь
146	8	я знал что ты
147	8	и с тех пор
148	8	я не знаю что
149	8	ему показалось что он
150	8	друг к другу и
151	8	был не в силах
152	8	с трудом поднялся на
153	8	мысли о том что
154	8	представить себе не мог
155	8	у него на глазах
156	8	и все же он
157	8	так и знал что
158	8	у него в руках
159	8	лицом к лицу с
160	8	все больше и больше
161	8	схватил за руку и
162	8	о том что в
163	8	бы там ни было
164	8	за то что я
165	8	переводя взгляд с на
166	8	с ноги на ногу
167	8	тех пор пока не
168	8	и не знал что
169	8	на опушке запретного леса
170	8	с тех самых пор
171	8	с тобой все в
172	8	ко мне в кабинет
173	8	как рассеять туман над
174	8	это еще не все
175	8	себе под нос и
176	8	к себе в комнату
177	8	но он знал что
178	8	можно было подумать что
179	8	ни на кого не
180	8	это не значит что
181	8	и вместо того чтобы
182	8	у был такой вид
183	8	у него в голове
184	8	он никогда еще не
185	7	не понимаю о чем
186	7	он больше не мог
187	7	ты не думаешь что
188	7	из рук в руки
189	7	в голову не пришло
190	7	вскочил на ноги и
191	7	что ты хочешь сказать
192	7	мысль о том что
193	7	он не мог понять
194	7	справа и слева от
195	7	нигде не было видно
196	7	руку в карман и
197	7	о том что с
198	7	судя по всему не
199	7	но в конце концов
200	7	уставились друг на друга
201	7	гермиона посмотрела на него
202	7	и представить себе не
203	7	себе не мог что
204	7	изо всех сил стараясь
205	7	не говоря уже о
206	7	как можно дальше от
207	7	я знаю что это
208	7	что бы то ни
209	7	я так и знал
210	7	я так не думаю
211	7	и то и другое
212	7	он то и дело
213	7	что ни на есть
214	7	если бы можно было
215	7	раздался громкий треск и
216	7	ни из них не
217	7	на том месте где
218	7	на самом деле я
219	7	открыл было рот но
220	7	он в последний раз
221	7	за то что ты
222	7	к себе в спальню
223	7	стало не по себе
224	7	дверь распахнулась и в
225	7	с тех пор я
226	7	с ним все в
227	7	и со всех ног
228	7	внутри у него все
229	7	не мог заставить себя
230	7	пришло в голову что
231	7	тем не менее он
232	7	так никогда и не
233	7	твоем месте я бы
234	7	трудом поднялся на ноги
235	7	как ты себя чувствуешь
236	7	смотрели друг другу в
237	7	на этот раз он
238	7	но так и не
239	7	к тому времени когда
240	7	когда они добрались до
241	7	он поднял глаза на
242	7	это еще что такое
243	7	что в этом году
244	7	уход за магическими существами
245	7	здесь для того чтобы
246	7	тобой все в порядке
247	7	не говоря ни слова
248	7	к себе в башню
249	7	с каких это пор
250	7	о том что я
251	7	прежних директоров и директрис
252	7	и то и дело
253	7	о том что произошло
254	7	как раз в тот
255	7	к тому времени как
256	7	и не обращая внимания
257	7	в самый последний момент
258	7	и до сих пор
259	7	что рано или поздно
260	7	как бы там ни
261	7	заключалась в том что
262	7	будет не будет не
263	6	не отрывая взгляда от
264	6	поднял на него взгляд
265	6	что с тех пор
266	6	у него на шее
267	6	откуда ты знаешь что
268	6	но в то же
269	6	я хочу чтобы ты
270	6	глядели друг на друга
271	6	по связям с гоблинами
272	6	в том месте где
273	6	перевел взгляд с на
274	6	при мысли о том
275	6	тех пор как я
276	6	вы хотите сказать что
277	6	и сам не знал
278	6	так же сильно как
279	6	посмотрела на него с
280	6	его за руку и
281	6	что на этот раз
282	6	у него над головой
283	6	у входа в палатку
284	6	они смотрели друг на
285	6	после того как они
286	6	как в прошлый раз
287	6	захлопнул за собой дверь
288	6	вас кое о чем
289	6	за то что они
290	6	на самом деле не
291	6	на самом деле это
292	6	это на самом деле
293	6	я открываюсь под конец
294	6	был уверен что он
295	6	был вне себя от
296	6	перед собой волшебную палочку
297	6	у нее из рук
298	6	ни с кем не
299	6	сердце у него забилось
300	6	он хотел чтобы я
301	6	не было ни малейшего
302	6	волшебной палочкой в руке
303	6	с таким видом словно
304	6	а в следующую секунду
305	6	посмотрели друг на друга
306	6	гарри понятия не имел
307	6	с ним все будет
308	6	к тому же он
309	6	совершенно сбитый с толку
310	6	ним все в порядке
311	6	все ближе и ближе
312	6	и сердце у него
313	6	схватил его за руку
314	6	о чем это ты
315	6	сразу после того как
