rank	total	word
1	47	о том что
2	32	для того чтобы
3	27	к тому же
4	24	на самом деле
5	20	в том что
6	19	судя по всему
7	18	что у него
8	17	так и не
9	16	в жизни не
10	16	никак не мог
11	14	с тех пор
12	14	все в порядке
13	13	в этот момент
14	13	у него был
15	12	выдавил из себя
16	12	до тех пор
17	12	тех пор пока
18	11	не знал что
19	10	себе под нос
20	10	никогда не видел
21	10	по крайней мере
22	10	на то что
23	10	то что он
24	9	не мог понять
25	9	на следующее утро
26	9	в тот момент
27	9	и тут же
28	9	за то что
29	9	если по правде
30	9	он никак не
31	8	он не мог
32	8	тем не менее
33	8	не сомневался что
34	8	тех пор как
35	8	потому что он
36	8	прежде чем он
37	8	в конце концов
38	8	тот момент когда
39	8	никогда в жизни
40	8	и с трудом
41	8	ему показалось что
42	8	если бы не
43	8	не так ли
44	8	на то чтобы
45	8	по направлению к
46	8	не в силах
47	8	как раз в
48	7	в отличие от
49	7	у него было
50	7	тем более что
51	7	что они не
52	7	после того как
53	7	вытащил из кармана
54	7	в прошлом году
55	7	в тот день
56	7	о том как
57	7	держал в руках
58	7	на этот раз
59	7	в следующую секунду
60	7	кое о чем
61	7	у него были
62	7	вид у него
63	7	и оказались в
64	7	я знаю что
65	7	я думаю что
66	7	я не знаю
67	7	соревнование между факультетами
68	6	ни к чему
69	6	перед тем как
70	6	он никогда не
71	6	что ты там
72	6	он знал что
73	6	что никто не
74	6	был уверен что
75	6	в первый раз
76	6	что он не
77	6	в этом году
78	6	был такой вид
79	6	такой вид словно
80	6	и все такое
81	6	они вышли из
82	6	я так и
83	6	ну что ж
84	6	о том чтобы
85	6	на его лице
86	6	в общей гостиной
87	6	я не могу
88	6	у нас нет
89	6	как пройти мимо
90	5	всего на свете
91	5	но они не
92	5	в мгновение ока
93	5	не по себе
94	5	он даже не
95	5	но тем не
96	5	так что он
97	5	ни о чем
98	5	изо всех сил
99	5	вместе с другими
100	5	но это не
101	5	мне кажется что
102	5	по сравнению с
103	5	что я буду
104	5	тетя и дядя
105	5	во весь голос
106	5	поверить в то
107	5	в то что
108	5	к тому что
109	5	он должен был
110	5	у него в
111	5	а может быть
112	5	но прежде чем
113	5	потому что они
114	5	у него не
115	5	я хотел сказать
116	5	жизни не было
117	5	что это он
118	5	до сих пор
119	5	что ничего не
120	5	посмотрел на него
121	5	хотел бы я
122	5	не знаю что
123	5	что все это
124	5	не думаю что
125	5	а что такое
126	5	прежде чем успел
127	5	он сказал что
128	5	потому что в
129	5	когда они с
130	5	уже не было
131	5	на него и
132	5	что я не
133	5	никогда не было
134	5	он чувствовал себя
135	5	а что если
136	5	я хотел бы
137	5	что с тобой
138	5	что ты не
139	5	в общую гостиную
140	5	но я не
141	5	рядом с ним
142	5	о философском камне
143	5	вы хотите сказать
144	4	на тисовую улицу
145	4	и уставился на
146	4	думая о том
147	4	том что в
148	4	ни в коем
149	4	в коем случае
150	4	коем случае не
151	4	как ты думаешь
152	4	у них был
153	4	а что касается
154	4	на мой взгляд
155	4	и посмотрел на
156	4	во внутренний карман
157	4	и даже не
158	4	и повернулся к
159	4	в то время
160	4	за последние лет
161	4	этого не заметил
162	4	произнес он я
163	4	никто не знает
164	4	того как он
165	4	на ноги и
166	4	пор пока не
167	4	и к тому
168	4	у него на
169	4	том что он
170	4	и еще он
171	4	тому же они
172	4	в голове его
173	4	я не хочу
174	4	заключалась в том
175	4	ни при чем
176	4	до того как
177	4	из-за того что
178	4	в какой-то момент
179	4	не был уверен
180	4	себя так словно
181	4	с тем что
182	4	том что не
183	4	друг на друга
184	4	двинулся с места
185	4	не замечая что
186	4	не было никаких
187	4	в этой комнате
188	4	мы с тобой
189	4	за собой дверь
190	4	а потом снова
191	4	не успели они
192	4	но все же
193	4	так что теперь
194	4	он решил что
195	4	просто для того
196	4	в руках у
197	4	сел обратно на
198	4	обратно на софу
199	4	ни разу не
200	4	чародейства и волшебства
201	4	в воздух и
202	4	и вытащил оттуда
203	4	него был такой
204	4	посмотрел на и
205	4	а в следующую
206	4	произнес он и
207	4	об этом не
208	4	на пол и
209	4	они поднялись по
210	4	смотрели на него
211	4	они стояли в
212	4	а у тебя
213	4	время от времени
214	4	это был не
215	4	как я понимаю
216	4	он совершенно не
217	4	не слышал о
218	4	но тут же
219	4	у него никогда
220	4	знал что это
221	4	что у них
222	4	постучал в дверь
223	4	и все из-за
224	4	в голосе была
225	4	а к тому
226	4	я только что
227	4	идите за мной
228	4	после того что
229	4	и что он
230	4	на третьем этаже
231	4	то что я
232	4	повернулся к и
233	4	до них донесся
234	4	на колени и
235	4	на следующий день
236	4	не мог поверить
237	4	мог поверить что
238	4	в сторону замка
239	4	и сейчас он
240	4	сомневался что его
241	4	в любой момент
242	4	в сторону и
243	4	потому что я
244	4	на третий этаж
245	4	но оказалось что
246	4	и все еще
247	4	не хотел чтобы
248	4	но он не
249	4	том что они
250	4	на сей раз
251	4	а когда он
252	4	не надо было
